"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule large display\Meetmodule V2.kicad_sch"
"Date:","19-12-2022 17:48:49"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"","","J3","Display","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","",""
"","","J4","Extra I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"","","J5","Debugger","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"","","L1","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","L2","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","L3","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","MOD1","Adafruit_3847_connector","HPT:Adafruit_3847_connector","HPT:Adafruit 3847 connector","","","","",""
"","","Q1","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","",""
"","","R1","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R2","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R3","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R4","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R5","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R6","200k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R7","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R8","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R9","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R10","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R11","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R12","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
